127.0.0.1 - - [13/Nov/2019:15:25:16 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:25:18 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:25:18 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:25:18 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:25:18 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 200 88148
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:25:18 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:25:18 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:25:29 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:25:29 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:25:29 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:25:29 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:25:29 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:25:29 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:25:30 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:25:30 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:13 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:13 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:13 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:13 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:13 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:13 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:13 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:13 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:13 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:13 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:13 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:14 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:14 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:14 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:14 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:14 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:14 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:14 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:14 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:14 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:24 +0900] "POST /Lecture_Evaluation/userLoginAction.jsp HTTP/1.1" 404 1157
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:28 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 7886
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:28 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:26:28 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:07 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 7922
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:07 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:10 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 7922
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:10 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:13 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2367
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:13 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:13 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:15 +0900] "GET /Lecture_Evaluation/userJoin.jsp HTTP/1.1" 200 2581
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:15 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:15 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:17 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2367
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:17 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:17 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:18 +0900] "GET /Lecture_Evaluation/userJoin.jsp HTTP/1.1" 200 2581
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:18 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:31:18 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:22 +0900] "GET /Lecture_Evaluation/userJoin.jsp HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:22 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:22 +0900] "GET /Lecture_Evaluation/userJoin.jsp HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:22 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
